date	bin	sbin	var	lib	sys	boot	usr
../..	0	0	0	0	0	0	0
../..	0	0	0	0	0	0	0
../..	0	0	0	0	0	0	0
../..	0	0	0	0	0	0	0
../..	0	0	0	0	0	0	0
(29/11)	0	0	0	0	0	0	0	
(29/11)	3	10	0	0	0	3	182	
(29/11)	0	0	0	0	0	0	16	
(01/12)	0	0	0	0	0	1	0	
(01/12)	0	0	0	0	0	0	0	
(03/12)	0	0	0	0	0	0	12	
(03/12)	0	0	0	0	0	0	10	
(08/12)	0	2	0	0	0	0	9	
(10/12)	0	0	0	0	0	0	1	
(14/12)	3	2	0	0	0	3	28	
(15/12)	0	0	0	0	0	0	0	
(19/12)	0	0	0	0	0	0	19	
(21/12)	0	15	0	0	0	0	10	
(25/12)	0	0	0	0	0	0	0	
(26/12)	0	0	0	0	0	0	0	
(28/12)	0	0	0	0	0	0	0	
(30/12)	0	0	0	0	0	0	0	
(01/01)	0	2	0	0	0	2	27	
(04/01)	0	3	0	0	0	8	19	
(05/01)	0	0	0	0	0	0	0	
(06/01)	0	0	0	0	0	0	0	
(07/01)	0	0	0	0	0	0	0	
(12/01)	0	3	0	0	0	0	47	
(14/01)	0	0	0	0	0	0	0	
(14/01)	0	0	0	0	0	0	6	
