date	high	medium	unknown
../..	0	0	0
../..	0	0	0
../..	0	0	0
../..	0	0	0
../..	0	0	0
(29/11)	0	0	0	
(29/11)	13	0	0	
(29/11)	21	19	26	
(01/12)	9	11	26	
(01/12)	11	21	28	
(03/12)	13	21	25	
(03/12)	0	0	0	
(08/12)	11	14	23	
(10/12)	11	21	28	
(14/12)	9	11	26	
(15/12)	9	18	27	
(19/12)	11	19	28	
(21/12)	11	17	26	
(25/12)	12	20	26	
(26/12)	9	21	27	
(28/12)	12	17	27	
(30/12)	16	22	31	
(01/01)	13	22	29	
(04/01)	11	22	28	
(05/01)	11	22	28	
(06/01)	9	17	26	
(07/01)	11	22	28	
(12/01)	9	20	26	
(14/01)	11	21	28	
(14/01)	8	10	24	
