date	users	groups	ports	kern
../..	0	0	0	0
../..	0	0	0	0
../..	0	0	0	0
../..	0	0	0	0
../..	0	0	0	0
(29/11)	0	0	0	0	
(29/11)	0	0	0	13	
(29/11)	0	0	2	66	
(01/12)	0	0	2	46	
(01/12)	0	0	2	60	
(03/12)	0	0	2	59	
(03/12)	0	0	0	0	
(08/12)	0	0	2	48	
(10/12)	0	0	2	60	
(14/12)	0	0	2	46	
(15/12)	0	0	2	54	
(19/12)	0	0	2	58	
(21/12)	0	0	2	54	
(25/12)	0	0	2	58	
(26/12)	0	0	2	57	
(28/12)	0	0	2	56	
(30/12)	0	0	2	69	
(01/01)	0	0	2	64	
(04/01)	0	0	2	61	
(05/01)	0	0	2	61	
(06/01)	0	0	2	52	
(07/01)	0	0	2	61	
(12/01)	0	0	2	55	
(14/01)	0	0	2	60	
(14/01)	0	0	2	42	
